DIB_CUST_ID,item_no,rank,Item_Description,image_url
111150143861416,0000000004225,1,Avocado - Large,https://www.kroger.com/product/images/196068050/medium/front/0000000004225
111150143861416,0000000004139,2,Apple - Granny Smith - Small,https://www.kroger.com/product/images/196008009/medium/front/0000000004139
111150143861416,0075166677005,3,Nature Sweet Cherub Tomatoes,https://www.kroger.com/product/images/576178092/medium/front/0075166677005
111150143861416,0003338320038,4,Strawberries - Organic,https://www.kroger.com/product/images/196320402/medium/front/0003338320038
111150143861416,0007339001368,5,Mentos Cotton Candy Bubble Fresh Gum,https://www.kroger.com/product/images/042013229/medium/front/0007339001368
111150143861416,0000000004053,6,Lemon - Large,https://www.kroger.com/product/images/196028004/medium/front/0000000004053
111150143861416,0001111091128,7,Simple Truth Organic Baby Spinach,https://www.kroger.com/product/images/196324054/medium/front/0001111091128
111150143861416,0000000004011,8,Banana,https://www.kroger.com/product/images/196202000/medium/front/0000000004011
111150143861416,0000000004015,9,Apple - Red Delicious - Small,https://www.kroger.com/product/images/196008007/medium/front/0000000004015
111150143861416,0000000004048,10,Lime,https://www.kroger.com/product/images/196028029/medium/front/0000000004048
111150143861416,0001111091659,11,Simple Truth Organic Cut & Peeled Baby Carrots,https://www.kroger.com/product/images/196321090/medium/front/0001111091659
111150143861416,0001111001738,12,Kroger Vitamin Enhanced Cherry Water Beverage,https://www.kroger.com/product/images/012040402/medium/front/0001111001738
111150143861416,0000000004080,13,Asparagus,https://www.kroger.com/product/images/575988120/medium/front/0000000004080
111150143861416,0001111000567,14,Kroger Round Top 100% Whole Wheat Bread,https://www.kroger.com/product/images/750502412/medium/front/0001111000567
111150143861416,0003338322101,15,Blueberries,https://www.kroger.com/product/images/196048016/medium/front/0003338322101
111150143861416,0008266680060,16,Popchips Cheddar & Sour Cream Potato Chips,https://www.kroger.com/product/images/176728478/medium/front/0008266680060
111150143861416,0000000004066,17,Green Beans,https://www.kroger.com/product/images/575988121/medium/front/0000000004066
111150143861416,0000000004022,18,Grapes - White Seedless,https://www.kroger.com/product/images/196038036/medium/front/0000000004022
111150143861416,0001111042861,19,Simple Truth Organic 2% Reduced Fat Milk With DHA Omega-3,https://www.kroger.com/product/images/172878800/medium/front/0001111042861
111150143861416,0005000014578,20,Coffee-mate Sugar Free Italian Sweet Cream,https://www.kroger.com/product/images/050794529/medium/front/0005000014578
111150143861416,0001111090715,21,"Kroger Lite Turkey Sausage, Egg & Cheese Wheat Muffins",https://www.kroger.com/product/images/450460225/medium/front/0001111090715
111150143861416,0001111084338,22,Private Selection Omega Christopher Grade A Large Eggs,https://www.kroger.com/product/images/050643517/medium/front/0001111084338
111150143861416,0001111084938,23,Simple Truth Organic Black Beans,https://www.kroger.com/product/images/172348418/medium/front/0001111084938
111150143861416,0001410008786,24,Pepperidge Farm 100% Whole Wheat Sandwich Buns,https://www.kroger.com/product/images/750502414/medium/front/0001410008786
111150143861416,0000000003117,25,Peaches - Yellow,https://www.kroger.com/product/images/196058053/medium/front/0000000003117
111150143861416,0008266680030,26,Popchips Sweet Potato Chips,https://www.kroger.com/product/images/176728478/medium/front/0008266680030
111150143861416,0001111079770,27,Simple Truth Natural Cage Free Brown Eggs,https://www.kroger.com/product/images/172868499/medium/front/0001111079770
111150143861416,0001111046068,28,Kroger Reduced Fat Sour Cream,https://www.kroger.com/product/images/050614533/medium/front/0001111046068
111150143861416,0022858840000,29,Atlantic Salmon Fillets,https://www.kroger.com/product/images/694292905/medium/front/0022858840000
111150143861416,0004114309071,30,Sunmaid Yogurt Raisins,https://www.kroger.com/product/images/076368230/medium/front/0004114309071
111150143861416,0001111083299,31,Simple Truth Organic Honey Nut Toasted Oats,https://www.kroger.com/product/images/176338324/medium/front/0001111083299
111150143861416,0024966790000,32,Maryland Crab Cake - Single,https://www.kroger.com/product/images/694333316/medium/front/0024966790000
111150143861416,0001111087411,33,Kroger Multigrain Waffles,https://www.kroger.com/product/images/450460032/medium/front/0001111087411
111150143861416,0001111078779,34,Kroger Black and Blueberry Vitamin Enhanced Water,https://www.kroger.com/product/images/012040401/medium/front/0001111078779
111150143861416,0001111097993,35,Kroger 85/15 Ground Turkey,https://www.kroger.com/product/images/465454500/medium/front/0001111097993
111150143861416,0001111079774,36,Simple Truth Cage Free Omega 3 DHA Brown Eggs,https://www.kroger.com/product/images/172868499/medium/front/0001111079774
111150143861416,0000000004046,37,Avocado,https://www.kroger.com/product/images/196068050/medium/front/0000000004046
111150143861416,0001111080482,38,Simple Truth Sea Salt Pepper Multigrain Cracker,https://www.kroger.com/product/images/176488470/medium/front/0001111080482
111150143861416,0072225219110,39,Clif Kid Z Chocolate Chip Protein Bars,https://www.kroger.com/product/images/176468286/medium/front/0072225219110
111150143861416,0001111086194,40,Kroger Home Sense Advanced Strength Double Roll,https://www.kroger.com/product/images/011129762/medium/front/0001111086194
111150143861416,0022582900000,41,Private Selection Oven Roasted Turkey Breast,https://www.kroger.com/product/images/154515150/medium/front/0022582900000
111150143861416,0000000004889,42,Cilantro,https://www.kroger.com/product/images/576148157/medium/front/0000000004889
111150143861416,0022573700000,43,Private Selection Black Forest Ham,https://www.kroger.com/product/images/154515130/medium/front/0022573700000
111150143861416,0001111016600,44,Kroger Nacho Cheese Tortilla Chips,https://www.kroger.com/product/images/600555501/medium/front/0001111016600
111150143861416,0001111050206,45,Kroger Reduced Fat Finely Shredded Sharp Cheddar Cheese,https://www.kroger.com/product/images/020655553/medium/front/0001111050206
