"rank","recipe_id","instruction_txt","ins_order"
1,174787,"Preheat oven to 350?F.",0
1,174787,"In a bowl, mix together margarine and graham wafer crumbs. Press evenly into a 13 by 9 inch lightly greased pan.",1
1,174787,"Pour condensed milk over base.",2
1,174787,"Working in layers, sprinkle evenly with chocolate chips, then coconut, then nuts. Using a spatula, press down firmly.",3
1,174787,"Bake in preheated oven for 25 to 30 minutes or until top is golden.",4
1,174787,"Place pan on a rack to cool completely, then cut into bars.",5
2,128392,"In a bowl, mix together the chicken, soup, and 1/2 cup cracker crumbs.",0
2,128392,"Transfer mixture to a lightly greased 2 quart baking dish.",1
2,128392,"Combine remaining cracker crumbs with butter.",2
2,128392,"Sprinkle over the top of the chicken mixture.",3
2,128392,"Bake in a 350 degree oven for 40 minutes.",4
3,115354,"Remove stem then de-leaf and remove choke to expose artichoke heart. Immediately rub artichoke heart with lemon slice to prevent oxidation, then place heart in bowl of ice water till all artichoke hearts are ready. Use heavy bottomed sauce pan with a tigh",0
3,115354,"4 Servings.",1
3,115354,"Warning:.",2
3,115354,"(I recommend not putting artichoke leaves down your garbage disposal as they are extremely tough and will usually clog it).",3
4,91663,"Cook the potatoes until tender.",0
4,91663,"Sprinkle with salt.",1
4,91663,"In a skillet mix the brown sugar and water and butter, bring to a boil.",2
4,91663,"Put potatoes in the syrup and cook on low, stirring for 15 minutes.",3
5,61380,"Mix 2 cups of flour with chicken broth and salt to form soft dough.",0
5,61380,"Spread 1/2 c flour on bread board.",1
5,61380,"put dough on top.",2
5,61380,"let cool.",3
5,61380,"roll out and cut 1" x 2" strips.",4
5,61380,"let dry 15 minutes.",5
5,61380,"drop into boiling broth/stew and simmer for 15- 20 minutes.",6
6,145129,"Melt the cheese, stir in corn and  1/2  of the cracker crumbs.",0
6,145129,"Layer  1/2  of the corn and tomato slices into to a oven safe dish.",1
6,145129,"Repeat layers.",2
6,145129,"Toss remaining crumbs with the melted butter.",3
6,145129,"Sprinkle over casserole.",4
6,145129,"Bake at 350? for 30 minutes.",5
7,52711,"Preheat oven to 350?F.",0
7,52711,"Spray an oven proof casserole with cooking spray and set aside.",1
7,52711,"Put the tomatoes with their juices into the casserole and cut up into chunks.",2
7,52711,"Add the sugar and stir.",3
7,52711,"Cut the butter into chunks and add to tomato mixture.",4
7,52711,"Stir in the stale bread cubes-enough to make a thick mixture.",5
7,52711,"Bake uncovered for 30-35 minutes, or until the top is lightly browned and the mixture is very thick.",6
7,52711,"Cover with foil if it appears to be browning too quickly towards the end.",7
8,33490,"In a small bowl whisk together the oil, butter and salt and pepper to taste.",0
8,33490,"Arrange the potato slices not touching in rows on an oiled baking sheet.",1
8,33490,"Brush slices with the oil mixture.",2
8,33490,"Roast them in the oven on the upper third or middle layer of a pre heated 450 degree oven turning once.",3
8,33490,"Bake for about 18-22 minutes or until golden crisp.",4
8,33490,"Drain on paper towels and sprinkle with salt to taste.",5
9,93218,"Scrub the sweet potatoes, leave unpeeled, and cut into fries or rounds. (Trust me, rounds are much easier!).",0
9,93218,"Combine olive oil and melted butter.",1
9,93218,"Arrange the potato slices, not touching, in rows on a baking sheet.",2
9,93218,"Lightly brush the potatoes with the oil mixture; being careful to not use too much or the fries get mushy.",3
9,93218,"Roast at 450?F for 18 to 22 minutes, or until they are golden and crisp, turning them once with a spatula.",4
9,93218,"Transfer the potatoes to paper towels to drain, sprinkle them with the salt to taste, and serve them warm.",5
9,93218,"Note: can be sprinkled with cinnamon sugar instead of salt.",6
10,411,"Place all ingredients in blender; whirl for 1 minute.",0
10,411,"Scrape down sides, then blend for another 15 seconds.",1
10,411,"Refrigerate 1 hour.",2
10,411,"Heat a lightly greased 6 inch skillet; remove from heat.",3
10,411,"Spoon in 2 Tbsp batter; lift and tilt skillet to spread evenly.",4
10,411,"Return to heat; brown on one side only.",5
10,411,"To remove, invert pan over paper toweling.",6
10,411,"Repeat with remaining batter.",7
10,411,"Delicious filled with any flavor fruit jam, sweetened fresh peaches, cream cheese and pineapple, ham or maple syrup.",8
11,138085,"Saute onions & carrots in butter,untill onions are translusent.",0
11,138085,"Add broth.",1
11,138085,"Bring to a boil.",2
11,138085,"Add rice & stir.",3
11,138085,"Reduce heat to a low simmer& cover.",4
