"base_upc","rank","recipe_name","id","r_id","r_quantity","unit","ingredient","ingredient_notes"
"",1,"Chocolate Chip Dream Bars",174787,182595,"1/2","cup","melted margarine",""
"0000111106948",1,"Chocolate Chip Dream Bars",174787,182595,"1","cup","semi-sweet chocolate chips",""
"",1,"Chocolate Chip Dream Bars",174787,182595,"1 1/2","cups","graham wafer crumbs",""
"",1,"Chocolate Chip Dream Bars",174787,182595,"1","cup","flaked coconut",""
"0000111100049",2,"Scalloped Chicken",128392,134698,"2","tablespoons","butter","melted"
"",2,"Scalloped Chicken",128392,134698,"2","cups","round buttery crackers","crushed and divided"
"0000111108252",3,"Roman Artichokes",115354,121211,"1/2","cup","extra virgin olive oil",""
"",3,"Roman Artichokes",115354,121211,"4","artichokes","",""
"",3,"Roman Artichokes",115354,121211,"1","dash","sea salt","to taste"
"0000111100044",3,"Roman Artichokes",115354,121211,"1/2","cup","water",""
"",4,"Brown Sugar Candied Sweet Potatoes",91663,96845,"3/4","cup","light packed brown sugar",""
"",4,"Brown Sugar Candied Sweet Potatoes",91663,96845,"1","pinch","salt",""
"0000111100049",4,"Brown Sugar Candied Sweet Potatoes",91663,96845,"2","tablespoons","butter",""
"0000111100044",4,"Brown Sugar Candied Sweet Potatoes",91663,96845,"1/3","cup","water",""
"0000111108449",5,"dumplings",61380,65666,"1/2","cup","flour",""
"0000111108449",5,"dumplings",61380,65666,"2","cups","flour",""
"",5,"dumplings",61380,65666,"1","teaspoon","salt",""
"0000111107384",5,"dumplings",61380,65666,"1 1/2","cups","chicken broth",""
"0000111100113",6,"Tomato & Corn Scallop",145129,151995,"3/4","cup","crackers","crushed"
"0007400759408",6,"Tomato & Corn Scallop",145129,151995,"3","","tomatoes","sliced"
"0000111100049",6,"Tomato & Corn Scallop",145129,151995,"1","tablespoon","butter","melted"
"0000111108557",7,"Southern Stewed Tomatoes",52711,56781,"1/2","cup","sugar",""
"",7,"Southern Stewed Tomatoes",52711,56781,"1/2","teaspoon","salt",""
"0000111100049",7,"Southern Stewed Tomatoes",52711,56781,"4","tablespoons","butter",""
"",7,"Southern Stewed Tomatoes",52711,56781,"3","slices","stale homemade bread","cut in cubes"
"0000150000711",8,"Roasted Sweet Potato Slices",33490,37089,"3/4","lb","sweet potatoes","left unpeeled and cut into 1/8 inch thick slices"
"0000111100049",8,"Roasted Sweet Potato Slices",33490,37089,"1","tablespoon","butter","melted"
