rank,TAR_COU_OFR_ID,dib_cust_id,coupon_num,score,base_upc_num,description,details,coupon_image,Brand
1,303394,1.1115014E14,800000025246,1,0003700086790,Save $1.00 on Tide,when you buy any ONE Tide PODS  Gain Flings  Downy Fresh Protect  Bounce Bursts  Dreft Blissfuls or Gain Fireworks (excludes Downy Unstopables Tide PODS 5ct. Gain Flings 5ct. and trial/travel size).,https://cdnprod.softcoin.com/mediaCache/ecoupon_397392.png,Gain
2,301250,1.1115014E14,800000015057,1,0003700047019,Save $1.00 on Downy,when you buy one bottle of Downy Liquid Fabric Softener (48-60 use) or one package of Downy Unstoppables (9.7 oz).,https://cdnprod.softcoin.com/mediaCache/ecoupon_372564.png,Downy
3,303395,1.1115014E14,800000025247,1,0003700035762,Save $0.50 on Downy,when you buy any ONE Downy Product (excludes Downy Libre Enjuague  Unstopables  Downy Fresh Protect  Downy liquid 12 load and trial/travel size).,https://cdnprod.softcoin.com/mediaCache/ecoupon_372564.png,Downy
4,300142,1.1115014E14,800000010148,1,0002900001613,Save $1.00 on PLANTER,On Any Two (2) PLANTERS Products (6 oz. or larger),https://www.kroger.com/product/images/600783232/medium/front/0002900007325,Planters
5,303369,1.1115014E14,800000025165,1,0003700088975,Save $0.50 on Crest,when you buy any ONE Crest Toothpaste 3.0oz or more or Liquid Gel (excludes Crest HD or Crest 3D White Brilliance 2-step system   Crest Pro-Health Stages   Jr. or Crest Kids Toothpaste 4.2 oz or larger,https://cdnprod.softcoin.com/mediaCache/ecoupon_397446.png,Crest
6,303400,1.1115014E14,800000025298,1,0003700084470,Save $0.25 on Cascade,when you buy any ONE Cascade Product (excludes trial/travel size).,https://cdnprod.softcoin.com/mediaCache/ecoupon_372555.png,Cascade
7,300199,1.1115014E14,800000022487,1,0074236500435,Save $1.00 on Horizon,on any One (1) Horizon&reg; Single Serve 6 or 12 packs,https://www.kroger.com/product/images/176638337/medium/front/0074236500416,Horizon Organic
8,305708,1.1115014E14,800000010209,1,0001111090707,Save $0.30 on Kroger,when you buy ONE (1) Kroger Jumbo Biscuits  Crescents  or Sweet Rolls,https://www.kroger.com/product/images/020661445/medium/front/0001111089050,Kroger
9,302752,1.1115014E14,800000012804,1,0007187154462,Save $.75 on OSCAR MAYER,on any Two (2) OSCAR MAYER Hot Dogs,https://www.kroger.com/product/images/715757502/medium/front/0004470000063,Oscar Mayer
10,303229,1.1115014E14,800000023381,1,0001111081088,Save $.30 on Kroger,when you buy one Kroger or Fred Meyer Ketchup or Mustard  any variety,https://www.kroger.com/product/images/010881120/medium/front/0001111080580,Kroger
11,303386,1.1115014E14,800000025210,1,0003700045541,Save $1.00 on Febreeze,when you buy any ONE Febreze Product (excludes trial/travel size).,https://cdnprod.softcoin.com/mediaCache/ecoupon_397410.png,Febreze
12,295254,1.1115014E14,800000018118,1,0007680800464,Save $1.00 on Barilla,on any One (1) Barilla&reg; Collezione Pasta,https://www.kroger.com/product/images/010840472/medium/front/0007680828008,Barilla
13,299632,1.1115014E14,800000035491,1,0007680800462,Save $1.00 on Barilla,when you buy any Four (4) boxes of Barilla&reg; Blue Box Pasta,https://www.kroger.com/product/images/010840472/medium/front/0007680828008,Barilla
